Date,AAPL,AMZN,GOOGL,JPM,MSFT,SPY
2018-01-02,40.26707458496094,59.45050048828125,53.18886184692383,85.90125274658203,78.6999282836914,235.95431518554688
2018-01-03,40.260066986083984,60.209999084472656,54.0963249206543,85.98880004882812,79.06616973876953,237.44676208496094
2018-01-04,40.44706344604492,60.47949981689453,54.30644989013672,87.22064208984375,79.76207733154297,238.447509765625
2018-01-05,40.90757751464844,61.457000732421875,55.02656555175781,86.66072845458984,80.75096130371094,240.03652954101562
2018-01-08,40.7556266784668,62.34349822998047,55.220848083496094,86.78870391845703,80.83335876464844,240.4755096435547
2018-01-09,40.7509651184082,62.6349983215332,55.150474548339844,87.2286376953125,80.77842712402344,241.0198211669922
2018-01-10,40.74159622192383,62.71649932861328,55.01912307739258,88.18850708007812,80.41216278076172,240.65109252929688
2018-01-11,40.9730224609375,63.83399963378906,55.113792419433594,88.66045379638672,80.65022277832031,242.40695190429688
2018-01-12,41.39612579345703,65.26000213623047,56.03561782836914,90.124267578125,82.0420150756836,243.98712158203125
2018-01-16,41.18574142456055,65.24299621582031,56.03810119628906,89.80430603027344,80.8974609375,243.15310668945312
2018-01-17,41.86598205566406,64.75,56.45440673828125,90.3802490234375,82.53646850585938,245.47076416015625
2018-01-18,41.903377532958984,64.66600036621094,56.29928207397461,90.59619903564453,82.49986267089844,245.0582275390625
2018-01-19,41.716373443603516,64.72899627685547,56.6724739074707,90.39622497558594,82.40827941894531,246.173095703125
2018-01-22,41.37509536743164,66.3655014038086,57.696388244628906,91.45210266113281,83.88247680664062,248.1747589111328
2018-01-23,41.38443374633789,68.12699890136719,58.2916145324707,91.35612487792969,84.14801788330078,248.70144653320312
2018-01-24,40.72523498535156,67.87550354003906,58.04975509643555,92.52397155761719,84.07476043701172,248.6049041748047
2018-01-25,39.998252868652344,68.89749908447266,58.58749008178711,92.54794311523438,84.54176330566406,248.71023559570312
2018-01-26,40.09176254272461,70.10250091552734,58.85610580444336,93.0439224243164,86.12581634521484,251.58982849121094
2018-01-29,39.26191711425781,70.88400268554688,58.80258560180664,92.94790649414062,85.99761199951172,249.9217529296875
2018-01-30,39.03050231933594,71.89099884033203,58.35108947753906,92.07601928710938,84.91716003417969,247.35826110839844
2018-01-31,39.13802719116211,72.54450225830078,58.591453552246094,92.52397155761719,86.99566650390625,247.48109436035156
2018-02-01,39.219844818115234,69.5,58.56023025512695,93.48383331298828,86.3089370727539,247.20034790039062
2018-02-02,37.51808166503906,71.49749755859375,55.46814727783203,91.41210174560547,84.03814697265625,241.81875610351562
